FAC_DET_REP,SITE_ADDRESS,Longitude,ID,EPA_REGISTRY_ID,SITE_CITY,SITE_ZIP,Latitude,CDR_SUB_CNT,Public_CDR_SUBMISSIONS_SITE_NAME,County-State
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110001131061,965 EAST COLLEGE AVENUE,-77.706199651,1874.0,110001131061,PLEASANT GAP,16823-6823,40.890254556,2.0,GRAYMONT INDUSTRIES PLEASANT GAP,Centre-PA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110007346229,HILL AVE& WINTER ST,-92.07701,1875.0,110007346229,SUPERIOR,54880,46.698900001,3.0,GRAYMONT LIME PLANT,Douglas-WI
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110008058822,INDIAN CREEK RD (4.5 MILES W. OF TOWNSEND),-111.68405,1876.0,110008058822,TOWNSEND,59644,46.350360001,2.0,GRAYMONT WESTERN LIME PLANT,Broadwater-MT
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110041298217,PO BOX 2520,-114.07262,1877.0,110041298217,WEST WENDOVER,89883,40.735160001,2.0,GRAYMONT WESTERN PILOT PEAK,Elko-NV
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110020663575,1220 ALEXANDER AVENUE,-122.39864,1878.0,110020663575,TACOMA,98421-4104,47.273500001,3.0,GRAYMONT WESTERN US INC,Pierce-WA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110021331021,3950 SOUTH 700 EAST SUITE 301,-111.87141,1879.0,110021331021,SALT LAKE CITY,84107-1303,40.686300001,1.0,GRAYMONT WESTERN US INC,Salt Lake City-UT
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110014338582,27716 462ND AVENUE,-96.964265,1880.0,110014338582,CHANCELLOR,57015-5761,43.371625001,1.0,GREAT PLAINS ETHANOL LLC.,Turner-SD
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000494563,2675 3RD STREET SOUTHWEST,-101.210273928,1881.0,110000494563,UNDERWOOD,58576,47.371376448,3.0,GREAT RIVER ENERGY COAL CREEK STATION,McLean-ND
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000595080,4001 HWY. 200A,-101.38756,1882.0,110000595080,STANTON,58571-9402,47.297690001,4.0,GREAT RIVER ENERGY STANTON STA TION,Mercer-ND
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110043786445,3009 WEST 49TH STREET,-104.726690698,1883.0,110043786445,GREELEY,80634,40.363202526,3.0,GREELEY GAS PLANT,Weld-CO
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000421464,1601 NORTH QUINCY STREET,-87.99886,1884.0,110000421464,GREEN BAY,54302-1114,44.526530001,1.0,GREEN BAY PACKAGING INC,Brown-WI
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000597890,338 HIGHWAY 113 SOUTH,-92.77107,1885.0,110000597890,MORRILTON,72110,35.160080001,8.0,GREEN BAY PACKAGING/ARK KRAFT,Conway-AR
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110032636002,550 CLINTON DR,-95.21962,1886.0,110032636002,GALENA PARK,77547,29.732616429,1.0,GREEN EARTH FUELS OF HOUSTON,Harris-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110032592308,1441 S ADAMS ST,-85.203116571,1887.0,110032592308,BLUFFTON,46714,40.720809858,2.0,"GREEN PLAINS BLUFFTON, LLC",Wells-IN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110022409883,214 20TH ST,-97.983883757,1888.0,110022409883,CENTRAL CITY,688262054,41.111724422,2.0,GREEN PLAINS CENTRAL CITY LLC,Merrick-NE
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110006529729,1660 428TH STREET,-94.14607,1889.0,110006529729,LAKOTA,50451-7099,43.383710001,2.0,GREEN PLAINS HOLDINGS II LLC,Kossuth-IA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=PENDING,7025 Silberhorn Hwy,-83.845073828,1890.0,PENDING,Blissfield,49228,41.819122751,2.0,Green Plains Holdings II LLC.,Lenawee-MI
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110043582290,2098 MCDONALD ROAD,-89.15007,1891.0,110043582290,OBION,38240,36.285640001,2.0,"GREEN PLAINS OBION, LLC",Obion-TN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110029535242,48267 VAL-E ROAD,-98.81558,1892.0,110029535242,ORD,68862-0287,41.567690001,2.0,GREEN PLAINS ORD LLC,Valley-NE
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110034124249,24096 170TH AVENUE,-96.13374,1893.0,110034124249,FERGUS FALLS,56537-7518,46.311580001,2.0,GREEN PLAINS OTTER TAIL LLC,Otter Tail-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110027236694,4124 AIRPORT RD,-95.416374615,1894.0,110027236694,SHENANDOAH,51601,40.757311027,2.0,GREEN PLAINS SHENANDOAH LLC,Fremont-IA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110035761930,1495 320TH AVE,-94.95422,1895.0,110035761930,SUPERIOR,51363,43.431366668,2.0,"GREEN PLAINS SUPERIOR, LLC",Dickinson-IA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=PENDING,222 Clematis St. Suite 207,-80.05159,1896.0,PENDING,West Palm Beach,33401,26.713320001,57.0,Greenchem Industries LLC,Palm Beach-FL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110038171359,"16825 NORTHCHASE DR., SUITE 1000",-95.40455,1897.0,110038171359,HOUSTON,77060-6090,29.944960001,24.0,GREENSPOINT HEAD OFFICE,Harris-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=PENDING,99 Crestview Dr.,-80.392866934,1898.0,PENDING,Transfer,16154,41.307992617,10.0,Greenville Metals Incorporated,Mercer-PA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110002106756,4320 GREENWAY DR.,-83.896226065,1899.0,110002106756,KNOXVILLE,37918,36.032034788,4.0,GREENWAY PRODUCTS INC,Knox-TN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=PENDING,1088 Germany Valley Limestone Road,-79.4067,1900.0,PENDING,Riverton,26814,38.788090001,2.0,"Greer Industries, Inc. dba Greer Lime Company",Pendleton-WV
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=,Hwy 285 30 miles S. Ft. Stockton TX 79735,-102.45993,1901.0,,Fort Stockton,79735,30.880140001,1.0,Grey Ranch Treating Plant,Pecos-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110022811046,1176 BRYAN GRIFFIN RD,-84.403000845,1902.0,110022811046,BUTLER,41006,38.731608515,1.0,GRIFFIN INDUSTRIES LLC,Pendelton-KY
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110018461118,1701 TOWANDA AVE-A,-88.95901,1903.0,110018461118,BLOOMINGTON,61701-2057,40.499540001,7.0,GROWMARK INC,McLean-IL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=,"1065 AVENUE OF THE AMERICAS, 32ND FL.",-73.984947778,1904.0,,NEW YORK,10018,40.753687779,1.0,"GSI EXIM AMERICA, INC.",NEW YORK-NY
