CNTYNAME,PSTL_CODE,YEAR,DATE_COL,ELEVATION,UID,SITE_ID,UNIQUE_ID,LAT_DD83,LON_DD83
Kosciusko,IN,2019,8/30/2019,232.275,2014558,NRS18_IN_10036,NRS_IN-10039,41.04920993,-85.72037088
Washington,ME,2019,8/30/2019,86.28,2014559,NRS18_ME_10194,NRS_ME-10327,44.85215555,-68.07279956
Washington,ME,2019,9/2/2019,16.13,2014560,NRS18_ME_10003,NRS_ME-10269,44.7373756,-67.54984117
Stillwater,MT,2019,9/1/2019,1135.31,2014561,NRS18_MT_10089,NRS_MT-10304,45.5973204,-109.3115993
Carbon,MT,2019,8/30/2019,1408.985,2014562,NRS18_MT_10013,NRS_MT-10319,45.34771267,-109.1693866
Sweet Grass,MT,2019,9/2/2019,1266.02,2014563,NRS18_MT_10065,NRS_MT-10506,45.80647911,-109.9562699
Kent,MI,2019,9/3/2019,183.54,2014564,NRS18_MI_10002,NRS_MI-10045,43.05631092,-85.59420601
Rockingham,NH,2019,9/3/2019,54.02,2014565,NRS18_NH_RF001,NRS_NH-10138,43.07161,-71.14224
Park,MT,2019,9/3/2019,1386.74,2014566,NRS18_MT_10067,NRS_MT-10508,45.79139287,-110.5031308
Brown,KS,2019,9/3/2019,322.96,2014567,NRS18_KS_10029,NRS_KS-10210,39.75447276,-95.69903262
Manitowoc,WI,2019,9/3/2019,177.88,2014568,NRS18_WI_10693,NRS_WI-10235,44.0964581,-87.66364728
Morton,ND,2019,9/3/2019,649.16,2014569,NRS18_ND_10378,NRS_ND-10451,46.928915,-101.6470576
Shenandoah,VA,2019,9/3/2019,316.87,2014570,NRS18_VA_10016,NRS_VA-10141,38.8826959,-78.68466031
New Castle,DE,2019,9/3/2019,48.225,2014571,NRS18_DE_10021,NRS_DE-10028,39.8061351,-75.46540517
Osage,OK,2019,9/3/2019,224.78,2014572,NRS18_OK_10014,NRS_OK-10174,36.96969503,-96.19866056
Van Buren,MI,2019,9/4/2019,190.91,2014573,NRS18_MI_10075,NRS_MI-10101,42.32680717,-86.13681824
Oneida,WI,2019,9/4/2019,460.72,2014574,NRS18_WI_10016,NRS_WI-10128,45.5843936,-89.46553785
Ozark,MO,2019,9/4/2019,210.42,2014575,NRS18_MO_RF007,NRS_MO-10175,36.758055,-92.154444
Floyd,GA,2019,9/4/2019,171.96,2014576,NRS18_GA_10029,NRS_GA-10159,34.18192272,-85.40972253
Dawson,GA,2019,9/4/2019,307.62,2014577,NRS18_GA_RF002,NRS_GA-10184,34.369,-84.20192
Garfield,UT,2019,9/4/2019,2620.01,2014578,NRS18_UT_10020,NRS_UT-10364,37.84417532,-111.8499488
Park,WY,2019,9/4/2019,2318.03,2014579,NRS18_WY_10996,NRS_WY-10529,44.97356602,-109.7782293
St. Joseph,MI,2019,9/5/2019,239.83,2014580,NRS18_MI_10046,NRS_MI-10145,41.90694319,-85.62352696
