,Unnamed: 0_x,CNTYNAME,PSTL_CODE,YEAR,DATE,ELEVATION,UID,SITE,UNIQUE,LAT_DD83,LON_DD83,PUBLICATION,VISIT,EPA,STATE,COMID,PROTOCOL,PCTCLINOMETER,REALM,SURVEY_YRS,County-State,Unnamed: 0_y, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,is_rising
1168,858.0,Harrison,WV,2018.0,8/30/2018,292.83,2013415.0,NRS18_WV_10013,NRS_WV-10069,39.31011106,-80.27189457,3/24/2021,1,Region_03,WV,3715934.0,WADEABLE,0.0,WADEABLE,1819.0,harrison-wv,684.0,54033.0,118.9,104.2,135,N/A ,13,50,48,stable,0.2,-1.2,1.7,0
1169,864.0,Sutter,CA,2018.0,9/4/2018,7.68,2013421.0,NRS18_CA_10012,NRS_CA-10797,38.80836237,-121.6352071,3/24/2021,1,Region_09,CA,7978069.0,BOATABLE,0.0,BOATABLE,1819.0,sutter-ca,2068.0,6101.0,95.1,84.2,107.1,N/A ,3,52,55,stable,0.9,-0.1,2,0
1170,871.0,Sutter,CA,2018.0,9/5/2018,7.44,2013429.0,NRS18_CA_10795,NRS_CA-11362,38.85129958,-121.6304411,3/24/2021,1,Region_09,CA,7978069.0,BOATABLE,0.0,BOATABLE,1819.0,sutter-ca,2068.0,6101.0,95.1,84.2,107.1,N/A ,3,52,55,stable,0.9,-0.1,2,0
1171,866.0,Loudon,TN,2018.0,9/4/2018,225.81,2013423.0,NRS18_TN_11090,NRS_TN-10153,35.73083825,-84.32573156,3/24/2021,1,Region_04,TN,22134307.0,BOATABLE,0.0,BOATABLE,1819.0,loudon-tn,708.0,47105.0,118.4,100.5,138.5,N/A ,3,83,32,stable,-7.2,-15.3,1.6,0
1172,1941.0,Loudon,TN,2019.0,8/29/2019,250.0,2014557.0,NRS18_TN_10489,NRS_TN-10150,35.65534925,-84.15339585,3/24/2021,1,Region_04,TN,19719351.0,WADEABLE,0.0,WADEABLE,1819.0,loudon-tn,708.0,47105.0,118.4,100.5,138.5,N/A ,3,83,32,stable,-7.2,-15.3,1.6,0
1173,868.0,Greenwood,KS,2018.0,9/4/2018,351.755,2013425.0,NRS18_KS_10001,NRS_KS-10040,37.7866243,-96.42997002,3/24/2021,1,Region_07,KS,21515712.0,WADEABLE,0.0,WADEABLE,1819.0,greenwood-ks,2798.0,20073.0,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available,0
1174,1019.0,Greenwood,KS,2018.0,9/24/2018,351.755,2013577.0,NRS18_KS_10001,NRS_KS-10040,37.7866243,-96.42997002,3/24/2021,2,Region_07,KS,21515712.0,WADEABLE,0.0,WADEABLE,1819.0,greenwood-ks,2798.0,20073.0,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available,0
1175,869.0,Teller,CO,2018.0,9/4/2018,2887.22,2013426.0,NRS18_CO_10224,NRS_CO-10449,38.80127291,-105.1697687,3/24/2021,1,Region_08,CO,947137.0,WADEABLE,0.0,WADEABLE,1819.0,teller-co,1686.0,8119.0,102.2,78.7,130.6,N/A ,1,40,13,stable,1.4,-1.6,4.6,0
1176,870.0,Live Oak,TX,2018.0,9/5/2018,29.97,2013428.0,NRS18_TX_10014,NRS_TX-10108,28.30210485,-98.05815346,3/24/2021,1,Region_06,TX,3168810.0,BOATABLE,0.0,BOATABLE,1819.0,live oak-tx,2427.0,48297.0,83.1,55.1,120.1,N/A ,8,197,6,stable,2.7,-0.9,6.5,0
1177,887.0,Live Oak,TX,2018.0,9/6/2018,28.42,2013445.0,NRS18_TX_10080,NRS_TX-10330,28.27505164,-97.98394783,3/24/2021,1,Region_06,TX,3170316.0,BOATABLE,0.0,BOATABLE,1819.0,live oak-tx,2427.0,48297.0,83.1,55.1,120.1,N/A ,8,197,6,stable,2.7,-0.9,6.5,0
1178,872.0,Spalding,GA,2018.0,9/5/2018,201.63,2013430.0,NRS18_GA_10005,NRS_GA-10071,33.31357506,-84.17306649,3/24/2021,1,Region_04,GA,6339478.0,WADEABLE,0.0,WADEABLE,1819.0,spalding-ga,1235.0,13255.0,109.4,94.9,125.3,N/A ,11,128,42,stable,0.9,-0.4,2.2,0
1179,875.0,Tioga,NY,2018.0,9/5/2018,237.54,2013433.0,NRS18_NY_10041,NRS_NY-10107,42.08366265,-76.29192789,3/24/2021,1,Region_02,NY,8103013.0,BOATABLE,0.0,BOATABLE,1819.0,tioga-ny,172.0,36107.0,137.3,118.2,158.5,N/A ,1,51,37,rising,2.1,0.7,3.5,1
1180,879.0,Tioga,NY,2018.0,9/6/2018,233.12,2013437.0,NRS18_NY_10020,NRS_NY-10056,42.02895484,-76.39830205,3/24/2021,1,Region_02,NY,8103053.0,BOATABLE,0.0,BOATABLE,1819.0,tioga-ny,172.0,36107.0,137.3,118.2,158.5,N/A ,1,51,37,rising,2.1,0.7,3.5,1
1181,882.0,Johnson,TN,2018.0,9/6/2018,884.51,2013440.0,NRS18_TN_10019,NRS_TN-10138,36.44658317,-81.73968862,3/24/2021,1,Region_04,TN,19742758.0,WADEABLE,0.0,WADEABLE,1819.0,johnson-tn,2404.0,47091.0,84.2,61.6,112.8,N/A ,15,93,9,stable,1.2,-2.1,4.6,0
1182,884.0,Douglas,OR,2018.0,9/6/2018,852.36,2013442.0,NRS18_OR_10006,NRS_OR-10514,43.10118171,-122.8297435,3/24/2021,1,Region_10,OR,23902339.0,WADEABLE,100.0,WADEABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1183,1154.0,Douglas,OR,2019.0,6/5/2019,17.52,2013714.0,NRS18_OR_10968,NRS_OR-10683,43.65019378,-123.6632718,3/24/2021,1,Region_10,OR,24526788.0,BOATABLE,0.0,BOATABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1184,1570.0,Douglas,OR,2019.0,7/23/2019,1345.855,2014174.0,NRS18_OR_10001,NRS_OR-10474,43.09695242,-122.4115125,3/24/2021,1,Region_10,OR,23894328.0,WADEABLE,0.0,WADEABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1185,1571.0,Douglas,OR,2019.0,7/24/2019,1326.82,2014175.0,NRS18_OR_10030,NRS_OR-10617,43.33219825,-122.3924031,3/24/2021,1,Region_10,OR,23896078.0,WADEABLE,100.0,WADEABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1186,1588.0,Douglas,OR,2019.0,7/25/2019,579.615,2014192.0,NRS18_OR_10045,NRS_OR-10530,43.16780193,-123.6912637,3/24/2021,1,Region_10,OR,23915551.0,WADEABLE,0.0,WADEABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1187,1734.0,Douglas,OR,2019.0,8/7/2019,1345.855,2014338.0,NRS18_OR_10001,NRS_OR-10474,43.09695242,-122.4115125,3/24/2021,2,Region_10,OR,23894328.0,WADEABLE,0.0,WADEABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1188,1740.0,Douglas,OR,2019.0,8/8/2019,696.565,2014344.0,NRS18_OR_10017,NRS_OR-10592,42.85641006,-123.1434089,3/24/2021,1,Region_10,OR,23902775.0,WADEABLE,0.0,WADEABLE,1819.0,douglas-or,1032.0,41019.0,112.4,100.1,125.7,N/A ,1,21,62,stable,0.3,-1.1,1.6,0
1189,885.0,York,ME,2018.0,9/6/2018,38.41,2013443.0,NRS18_ME_10017,NRS_ME-10313,43.21747802,-70.65012175,3/24/2021,1,Region_01,ME,5844866.0,WADEABLE,0.0,WADEABLE,1819.0,york-me,1012.0,23031.0,112.8,104.3,121.8,N/A ,4,15,132,stable,0.1,-0.8,0.9,0
1190,1547.0,York,ME,2019.0,7/22/2019,11.165,2014142.0,NRS18_ME_10004,NRS_ME-10270,43.49885439,-70.46422695,3/24/2021,1,Region_01,ME,9316901.0,BOATABLE,0.0,BOATABLE,1819.0,york-me,1012.0,23031.0,112.8,104.3,121.8,N/A ,4,15,132,stable,0.1,-0.8,0.9,0
1191,1560.0,York,ME,2019.0,7/23/2019,14.16,2014164.0,NRS18_ME_10012,NRS_ME-10294,43.49893734,-70.48889328,3/24/2021,1,Region_01,ME,9316915.0,BOATABLE,0.0,BOATABLE,1819.0,york-me,1012.0,23031.0,112.8,104.3,121.8,N/A ,4,15,132,stable,0.1,-0.8,0.9,0
