,fips,recent_trend_cat,predictions
1173,23007,stable,2
1174,23009,stable,2
1176,23013,rising,2
1178,23017,stable,2
1179,23019,rising,1
1182,23025,stable,2
1183,23027,stable,2
1184,23029,stable,2
1185,23031,stable,2
1186,24001,stable,2
1187,24003,stable,2
1188,24005,stable,2
1191,24013,stable,2
1193,24017,stable,2
1195,24021,stable,2
1197,24025,stable,2
1198,24027,stable,2
1199,24029,stable,2
1200,24031,stable,2
1201,24033,stable,2
1202,24035,stable,2
1206,24043,stable,2
1207,24045,stable,2
1209,24510,falling,2
1211,25003,stable,2
1212,25005,stable,2
1214,25009,stable,2
1216,25013,stable,2
1217,25015,stable,2
1218,25017,falling,2
1220,25021,falling,2
1223,25027,stable,2
1226,26005,stable,2
1227,26007,stable,2
1228,26009,stable,2
1231,26015,stable,2
1232,26017,rising,1
1234,26021,stable,2
1235,26023,stable,2
1236,26025,stable,2
1237,26027,stable,2
1238,26029,stable,2
1243,26039,stable,2
1244,26041,stable,2
1245,26043,stable,2
1246,26045,stable,2
1248,26049,falling,2
1252,26057,stable,2
1255,26063,stable,2
1256,26065,stable,2
1257,26067,stable,2
1261,26075,stable,2
1262,26077,stable,2
1263,26079,stable,2
1264,26081,stable,2
1269,26091,stable,2
1270,26093,falling,2
1273,26099,stable,2
1274,26101,stable,2
1275,26103,stable,2
1276,26105,stable,2
1277,26107,stable,2
1279,26111,rising,1
1281,26115,stable,2
1282,26117,stable,2
1284,26121,stable,2
1286,26125,stable,2
1290,26133,stable,2
1292,26137,stable,2
1293,26139,stable,2
1294,26141,stable,2
1296,26145,stable,2
1297,26147,stable,2
1299,26151,stable,2
1301,26155,stable,2
1302,26157,stable,2
1304,26161,stable,2
1305,26163,stable,2
1479,29007,stable,2
1480,29009,stable,2
1481,29011,stable,2
1483,29015,stable,2
1485,29019,stable,2
1486,29021,rising,1
1489,29027,stable,2
1491,29031,stable,2
1492,29033,stable,2
1496,29041,stable,2
1497,29043,stable,2
1499,29047,stable,2
1508,29065,stable,2
1511,29071,stable,2
1514,29077,stable,2
1517,29083,stable,2
1522,29093,stable,2
1523,29095,stable,2
1524,29097,stable,2
1525,29099,stable,2
1526,29101,stable,2
1530,29109,stable,2
1532,29113,stable,2
1536,29121,stable,2
1537,29123,stable,2
1539,29127,stable,2
1544,29137,rising,1
1547,29143,stable,2
1548,29145,stable,2
1551,29151,rising,1
1555,29159,stable,2
1557,29163,stable,2
1558,29165,stable,2
1562,29173,stable,2
1563,29175,stable,2
1567,29183,stable,2
1569,29186,stable,2
1570,29187,stable,2
1571,29189,rising,1
1572,29195,stable,2
1577,29205,stable,1
1583,29217,stable,2
1584,29219,stable,2
1590,29510,falling,2
1592,30003,stable,1
1594,30007,rising,1
1595,30009,stable,2
1606,30031,stable,2
1612,30043,stable,2
1615,30049,stable,1
1622,30063,stable,2
1624,30067,stable,2
1632,30083,stable,2
1634,30087,stable,2
1637,30093,stable,1
1638,30095,stable,2
1646,30111,stable,2
1647,31001,stable,2
1648,31003,stable,2
1653,31013,stable,2
1659,31025,rising,1
1664,31035,stable,1
1665,31037,stable,2
1667,31041,stable,2
1668,31043,stable,2
1670,31047,stable,2
1673,31053,rising,1
1674,31055,rising,1
1679,31065,rising,1
1680,31067,stable,2
1686,31079,stable,2
1687,31081,stable,2
1694,31095,stable,2
1696,31099,stable,1
1701,31109,stable,2
1702,31111,stable,2
1706,31119,stable,1
1707,31121,stable,2
1712,31131,stable,2
1717,31141,stable,2
1718,31143,stable,1
1719,31145,stable,2
1724,31155,rising,1
1727,31161,stable,2
